Nom,Type de vin,Type de vin précision,Degré d'alcool,Brasserie,Pays,Prix,Fruité,Vivacité,Puissance,Epicé/boisé,Visuel,Odeur,Goût,Accompagnements,Description,Url
CLOS DU MOULIN AUX MOINES SAINT ROMAIN SOUS ROCHES ROUGE 2018,ROUGE,SAINT ROMAIN,13.0,CLOS DU MOULIN AUX MOINES,FRANCE,31.2,6,8,6,2,"Rouge cerise noire, reflets rosés","Petits fruits rouges, groseilles, épices","Tanins fins, élégants, souple","Viande rouge, Viande blanche, Charcuterie","Saint-Romain jouit d'un terroir assez unique sur la Côte de Beaune. La falaise de Saint-Romain, qui forme un cirque naturel, donne à cette AOC une altitude plus importante que ses voisines. En résulte une fraîcheur dans les vins, plus présente encore.
Le domaine de Clos du Moulin aux moines représente 15 Ha implantés sur différentes appellations. Ce découpage morcelé est typique de la Bourgogne. Les ""climats"", noms donnés aux parcelles, sont chacuns différents, délimités et il n'est pas rare de voir plusieurs domaines implantés sur le même climat. Ce découpage donne aussi parfois lieu à une notion de monopole.
Ce Saint-Romain rouge est un Pinot Noir comme seul la Bourgogne peut réaliser. Ce cépage, introduit en 1395 par Philippe le Hardi pour remplacer le Gamay, s'épanouit depuis à la perfection. On retrouve tous les ingrédients d'un grand vin, avec une structure classieuse et une finesse remarquable conjuguée à des tanins précis. Un grand vin, qui appréciera d'être ouvert quelques heures avant dégustation.",https://vandb.fr/clos-du-moulin-aux-moines-saint-romain-sous-roches-rouge-2018.html
CHÂTEAU DE CARAGUILHES COCHON VOLANT BLANC 2020,BLANC,PAYS D'OC,12.5,CARAGUILHES,FRANCE,8.3,8,4,4,0,"Jaune paille, reflets dorés","Aromatique, confit, exotique","Avenant, pulpeux, équilibré","Apéro, Fromages, Poisson","Le Château Caraguilhes, c'est une philosophie bio qui date des années 50. C'est aussi une diversité de sol et de cépage dont tout vigneron rêverait, qui laisse du choix dans l'assemblage et permet de réaliser des vins aux profils uniques.
La cuvée Cochon Volant en blanc possède une belle ampleur aromatique apportée par le viognier tandis que la marsanne et le grenache viennent équilibrer l'ensemble par leur rondeur. Un vin blanc de plaisir aux arômes d’acacia et d'abricot. Des notes de pierre à fusil et de citron arrivent ensuite pour apporter de la fraîcheur. Le vin blanc Cochon volant peut se boire tel quel à l'apéritif ou accompagner un poisson, un fromage.",https://vandb.fr/chateau-de-caraguilhes-cochon-volant-blanc-2020.html
AOP RASTEAU ROUGE DOMAINE BEAURENARD BIO 2017,ROUGE,CÔTES DU RHÔNE VILLAGE,15.0,,FRANCE,17.4,10,4,8,8,"Rouge rubis, reflets violets","Fruits rouges, fruits noirs parfums de la garrigue","Fruitée, épicée, gourmande","Viande rouge, Gibier, Fromage corsé","Le domaine de Beauregard est situé à Châteauneuf du Pape dans les vignobles du Rhône méridional. Depuis sept générations, la famille Coulon fait perdurer son savoir-faire en le transmettant et en le sauvegardant au fil des siècles. Pour la petite histoire, le nom du domaine est issu du nom cadastral de 1695, le « Bois Renard ».
25 hectares sont exploités à Rasteau. Ce vin de garde, d’un rouge intense et profond, est travaillé en agriculture biologique et biodynamique. Ses arômes sur le fruit rouge, les épices, des senteurs de garrigues avec le romarin et le thym apportent une véritable gourmandise en bouche.",https://vandb.fr/aop-rasteau-rouge-domaine-beaurenard-bio-2017.html
VIGNERONS DE TAUTAVEL ECLAT MAURY ROUGE 2016,ROUGE,MAURY,16.0,VIGNERONS DE TAUTAVEL,FRANCE,11.7,10,4,6,0,"Rouge grenat, reflets orangés","Cerise noire kirschée, cacao, pruneau","Velouté, doucereux, fruité","Glace et sorbet, Chocolat noir, Desserts chocolatés","Maury fait partie de ces rares régions françaises à produire des vins doux naturels rouge avec Rivesaltes et Banyuls, deux de ses voisines. On parle ici de vins mutés, késako ? Il change de région pour s'installer autre part ? Il se transforme en alien ? Vous vous doutez bien que non, la mutation pour ce type de vin correspond à une technique utilisée pour stopper la fermentation du vins et ainsi garder du sucre naturellement présent dans le raisin.
À Maury on réalise ce type de vin principalement avec du Grenache Noir, c'est le cas pour cet Éclat proposé par les vignerons de Tautavel. Faisant référence aux éclats de silex et à l'histoire préhistorique de cette région, cette cuvée n'en reste pas moins lumineuse. Si vous n'avez jamais dégusté ce type de vin, on y trouve de la gourmandise, des arômes friands de cerises noires et de cacao et une bouche où le sucre et le côté épicé de ce vin se marient à merveille. Ce vin à la réputation de s'associer parfaitement avec tout ce qui est chocolaté, on ne peut que vous conseiller d'essayer. Mais on vous prévient, vous risquez fortement de tomber amoureux de cet accord, vous ne pourrez pas dire qu'on ne vous avait pas prévenu.",https://vandb.fr/vignerons-de-tautavel-eclat-maury-rouge-2016.html
MAISON VENTENAC LA RÉSERVE DE JEANNE 2018,ROUGE,CABARDÈS,13.5,MAISON VENTENAC,FRANCE,7.95,8,4,8,2,Rouge brillante,"Épicé, Fruité","Fruitée, Fraiche",,"La Réserve de Jeanne, du nom de la grand mère de la vigneronne Stéphanie Ramé, est la cuvée sur laquelle la maison Ventenac a construit sa renommée.
Un vin qui raconte son histoire puisque, à l’image de cette dame à la forte personnalité qui a su imposer ses convictions dans un univers masculin, la réserve de Jeanne, sur la finesse, a su trouver sa place au sein d’une production languedocienne plus connue pour ses vins puissants et concentrés.",https://vandb.fr/maison-ventenac-la-reserve-de-jeanne-2018.html
LES VINS D'AZEL UN FRANC SUCCÈS SAINT-NICOLAS DE BOURGUEIL 2019,ROUGE,SAINT NICOLAS DE BOURGUEIL,12.5,LES VINS D'AZEL,FRANCE,10.0,6,8,6,0,"Rouge rubis, reflets grenats","Petits fruits rouges, sous-bois, pivoine","Ligérien, tanins fondus, souple","Viande rouge, Charcuterie, Barbecue, Burger","Le Val de Loire est une région qui a beaucoup changé ces derniers temps, avec de jeunes vignerons talentueux qui prennent la suite de leurs parents et insufflent un vent nouveau.
Azéline Delarue fait partie de cette nouvelle vague qui casse les lignes de la Loire. Ses parents, vignerons au domaine de la Perrée, l'ont baigné dans la viticulture depuis sa jeunesse, et après avoir travaillée dans le milieu pharmaceutique, Azéline est revenue sur ces terres pour se consacrer au vin.
Ici, ce Franc Succès est comme son nom l'indique un 100% Cabernet Franc, où s'exprime le terroir de Saint-Nicolas de Bourgueil. Ce vin rouge de semi-garde et un beau compromis entre la structure et le fruit. Un joli travail de vigneron qui laisse imaginer un bel avenir à cette talentueuse passionnée.",https://vandb.fr/les-vins-d-azel-un-franc-succes-saint-nicolas-de-bourgueil-2019.html
MANUEL OLIVIER HAUTES CÔTES DE NUITS BLANC 2019,BLANC,HAUTES CÔTES DE NUITS,13.5,MANUEL OLIVIER,FRANCE,18.5,6,6,6,4,"Jaune or vert, limpide et brillant","Fruité, généreux, légèrement boisé","Élégant, gras, équilibré","Viande blanche, Fromages, Poisson grillé","La région de la Côte de Nuit est celle où l'on trouve les plus grands crus de Bourgogne. Les Hautes Côtes de Nuits bénéficient d'un terroir situé entre 300 et 400 mètres d'altitude, ces vignes, plus en hauteur s'épanouissent dans un environnement plus sauvage.
Le Domaine Manuel Olivier est un petit domaine de Bourgogne, 11 Ha dispersés, comme c'est la coutume là-bas, sur plusieurs appellations. On y trouve des AOC plus génériques comme ce Hautes Côtes de Nuits mais aussi des climats implantés sur des régions très prestigieuses, Pommard 1er cru, Meursault 1er cru et même Clos Vougeot.
La région Hautes Côtes de Nuits est surtout connue pour ses vins rouges. Mais les blancs sont également d'une qualité remarquable et ce vin en est le parfait exemple. On y trouve une touche boisée, qui apporte un peu de gras à ce vin, mais le plus marquant de cette cuvée est l'ampleur du Chardonnay et cette finale sur la minéralité et la puissance du cépage.",https://vandb.fr/manuel-olivier-hautes-cotes-de-nuits-blanc-2019.html
DOMAINE MUCYN LES SALAMANDRES SAINT-JOSEPH ROUGE 2018,ROUGE,SAINT JOSEPH,13.0,DOMAINE MUCYN,FRANCE,22.8,8,4,8,2,"Rouge grenat, reflets violets","Poivré, fruits à noyaux confits, réglisse","Velouté, fondant, suave","Viande rouge, Charcuterie, Gibier","Saint-Joseph est la voisine de Crozes Hermitage sur la rive droite du Rhône, dans la partie méridionale. Il portait autrefois le ""vin de Mauves"", puis pris le nom de Saint-Joseph, mais cette région a toujours été plébiscitée aux plus grandes tables à travers les époques, rois, tsars, même Charlemagne.
Le Domaine Mucyn n'est pas seulement présent sur cette jolie AOC, puisque qu'il s'occupe aussi de certains domaines à Crozes Hermitage et en Cornas. Autant dire que les grands vins du Rhône, ces champenois d'origine, maîtrisent.
Cette cuvée des Salamandres tirent son nom des ces amphibiens, présents sur leur parcelle. On retrouve en bouteille un vin charnu, avec un bel équilibre qui nous offre des tanins veloutés.",https://vandb.fr/domaine-mucyn-les-salamandres-saint-joseph-rouge-2018.html
LA TOUR SAINT MARTIN LES MOROGUES BLANC 2019,BLANC,MENETOU SALON,12.5,DOMAINES MINCHIN,FRANCE,13.9,8,8,6,0,"Couleur or vert, limpide, reflets or vert.","Complexe, fruité, arômes d'agrumes","Fraîche, Intense, Agrume, Minérale","Poisson, Crustacés, Fruits de mer, Coquillages et crustacés, Fromage doux","Longtemps considéré comme le petit frère du Sancerre, le Menetou-Salon est pourtant un vin historique, apprécié depuis le 15 ème siècle et servi à la table du roi Charles V.
Il regagne ses lettres de noblesses depuis ces dix dernières années avec l'arrivée de jeunes vignerons. Il serait dommage de ne pas exploiter le potentiel de ce sublime terroir, le fameux kimméridgien !
Kimmeri...Quoi ? Et bien c'est le même terroir qu'à Chablis, un calcaire très riche en fossiles qui donne au Sauvignon une tension, une minéralité et un côté pierre mouillé unique. Un vin très frais qui a parfaitement sa place en début de repas.",https://vandb.fr/la-tour-saint-martin-les-morogues-blanc-2019.html
AOP RASTEAU ROUGE DOMAINE BEAURENARD BIO 2019,ROUGE,CÔTES DU RHÔNE VILLAGE,15.0,DOMAINE DE BEAURENARD,FRANCE,17.4,10,4,8,8,"Rouge rubis, reflets violets","Fruits rouges, fruits noirs parfums de la garrigue","Fruitée, épicée, gourmande","Viande rouge, Gibier, Fromage corsé","Le domaine de Beauregard est situé à Châteauneuf du Pape dans les vignobles du Rhône méridional. Depuis sept générations, la famille Coulon fait perdurer son savoir-faire en le transmettant et en le sauvegardant au fil des siècles. Pour la petite histoire, le nom du domaine est issu du nom cadastral de 1695, le « Bois Renard ».
25 hectares sont exploités à Rasteau. Ce vin de garde, d’un rouge intense et profond, est travaillé en agriculture biologique et biodynamique. Ses arômes sur le fruit rouge, les épices, des senteurs de garrigues avec le romarin et le thym apportent une véritable gourmandise en bouche.",https://vandb.fr/aop-rasteau-rouge-domaine-beaurenard-bio-2019.html
PHILIPPE CHÉRON VOSNE-ROMANÉE LES BARREAUX 2016,ROUGE,VOSNE ROMANÉE,12.5,DOMAINE PHILIPPE CHÉRON,FRANCE,61.2,6,8,8,4,"Rouge rubis intense, reflets rosés","Groseille mûre, sois-bois, épicé","Minéral, classieux, ample","Viande rouge, Viande blanche, Agneau, Gibier","Vosne-Romanée c'est la pépite de la Côte-de Nuits. Berceau de crus d'exception, elle abrite des noms prestigieux comme Romanée-Conti. La cuvée ""Les Barreaux"" provient d'une parcelle surplombant l'appellation Richebourg, un grand cru mondialement reconnu.
C'est entouré de ces fameux climats que Paul Misset a fondé son domaine dans les années 30. Depuis 2011, c'est Philippe Cheron, son petit-fils qui a repris le domaine. Fort de ses expériences en vallée du Rhône et en Bourgogne, ce passionné du vin conduit aujourd'hui ses propres parcelles de vieilles vignes de pinot noir.
Pour ses cuvées, Philippe Cheron souhaite une expression intense des arômes, il réalise une cuvaison plus longue afin d'extraire au mieux tout le potentiel des baies de raisin. Un élevage sous bois bien maîtrisé apporte à son vin des notes subtilement boisées. Une matière veloutée et à la structure tannique élégante qui accompagnera très bien des viandes telles qu'un gibier à plume, un agneau rôti ou un ris de veau.",https://vandb.fr/philippe-cheron-vosne-romanee-les-barreaux-2016.html
CHÂTEAU SAINT-SAUVEUR HOMME DE COEUR ROUGE 2019,ROUGE,VENTOUX,14.5,CHÂTEAU SAINT SAUVEUR,FRANCE,8.5,8,2,6,0,"Rouge grenat, reflets rubis","Réglisse, fruits noirs concentrés, épices","Charnu, enveloppé, généreux","Viande rouge, Gibier, Burger","Existant depuis le XIIème siècle et propriété de la famille Rey depuis les années 30, cette propriété du Vaucluse se situe dans la région du Ventoux. Il est cultivé en agriculture biologique depuis 2015.
Ce vin rouge, en plus d'avoir du cœur, dévoile son corps charnu et généreux, c'est un vin remarquable, épaulé par des tanins discrets et intégrés. Un homme de cœur à la fois élégant et caractéristique de sa région du Ventoux, on vous conseille de sauter le pas rapidement, car sur ce vin rouge, on vend tout.
Ce Château Saint-Sauveur viendra au secours de vos repas entre amis ou en famille.",https://vandb.fr/chateau-saint-sauveur-homme-de-coeur-rouge-2019.html
CLOS DU MOULIN AUX MOINES CLOS DE LA PERRIÈRE MONOPOLE BLANC 2018,BLANC,BOURGOGNE,12.5,CLOS DU MOULIN AUX MOINES,FRANCE,22.9,6,8,6,4,"Jaune or vert, reflets dorés","Zeste de citron, beurré, minéral","Élégant, puissant, équilibré","Viande blanche, Fruits de mer, Poisson, Fromages","Le Clos du Moulin aux Moines est un domaine historique à Auxey-Duresses. Comme son nom l'indique, ce sont les moines clunisiens qui l'ont fondé en 962. Reconnu pour ses qualités environnementales, le clos fut exploité pendant plus de 600 ans par l'Abbaye de Cîteaux.
C'est avec l'arrivée au domaine de Willy Roulendes en 2008 que le clos prend un nouveau tournant. Les équipes entreprennent la démarche de labellisation bio et orientent leurs pratiques vers la biodynamie. Une révolution dans le paysage traditionnel de la Bourgogne, le Clos du Moulin aux Moines a pris des risques et ils ont eu raison. Les parcelles de vieilles vignes ont retrouvé toutes leur vigueur et produisent aujourd'hui de magnifiques vins.
Clos de la Perrière est issue d'une unique parcelle de chardonnay entourée d'un petit muret en pierre, ce qui lui a valu son nom de clos. Beaucoup de volume et une belle puissance aromatique pour ce vin blanc qui exprime la quintessence du chardonnay. On retrouve des notes de citrons, de beurre et de pain toasté. Un superbe équilibre pour ce vin qui a l'étoffe d'un grand blanc de Bourgogne.",https://vandb.fr/clos-du-moulin-aux-moines-clos-de-la-perriere-monopole-blanc-2018.html
DOMAINE DE BONSERINE CONDRIEU 2019,BLANC,CONDRIEU,14.0,DOMAINE DE BONSERINE,FRANCE,47.9,10,4,8,4,"Robe or pâle, reflets dorés","Acacia, abricot, pêche","Gras, dense, complexe",,"Ah Condrieu... la vallée du Rhône septentrionale, le Viognier roi... C'est sur seulement 200 Hectares qu'est produit l'ensemble des Condrieu, des vins rares, élégants connus de tous les plus férus amateurs de grands vins blancs du Rhône.
Sur ces 200 Ha que compte l'AOC, le domaine Bonserine n'en cultive qu'un, leurs autres vignes étant destinées à la confection de vins rouges, sur Côte Rôtie. Mais cela suffit pour nous exposer toute la classe du Rhône septentrionale.
Un équilibre parfait entre fruit et minéralité, voilà comment on peut résumer cette grande cuvée. Le viognier, si riche et exubérant dans bien d'autres régions, se dévoile sous un autre jour sur ces terroirs, avec une finesse rare.",https://vandb.fr/domaine-de-bonserine-condrieu-2019.html
